"wikidata","label"
"Q2870474","Land Des Schweigens Und Der Dunkelheit (Herzog, 1971)"
"Q5945562","Postschi (Mehrjui, 1971)"
"Q6585182","Margalit, The Highway Queen (Golan, 1971)"
"Q122929131","Moonwalk No. 1 (1971)"
"Q25513","Paris Nous Appartient (Rivette, 1961)"
"Q6507640","Le Revelateur (Garrel, 1968)"
"Q144521","Titicut Follies (Wiseman, 1967)"
"Q28788752","Geschichten Vom Kubelkind (Stoeckl/Reitz, 1970)"
"Q2928298","The Scandalous Adventures Of Buraikan (Shinoda, 1970)"
"Q2586674","Salesman (Maysles/Maysles, 1969)"
"Q122661772","The Bed (Broughton, 1967)"
"Q122661810","Documentary Footage (Fisher, 1968)"
"Q104863118","Fly (Ono, 1971)"
"Q29577744","Number 4 (Ono, 1968)"
"Q122811226","Black Pudding (Edell, 1971)"
,"""Beaver"" Films (1970)"
"Q20874589","The Continuing Story Of Carel And Ferd (Ginsberg, 1972)"
"Q16950461","Coming Apart (Ginsberg, 1969)"
"Q41132","Barbarella (Vadim, 1968)"
"Q653375","Dear John (Lindgren, 1964)"
"Q122929132","Everready (1925)"
"Q122929133","Electrosex (1970)"
"Q111723679","Fuses (Schneemann, 1967)"
"Q664020","The Go-Between (Losey, 1971)"
"Q4657342","History Of The Blue Movie (Renzie, 1971)"
"Q2054210","Jag Ar Nyfiken - Gul / Bla (Sjoman, 1967)"
"Q570567","Last Tango In Paris (Bertolucci, 1972)"
"Q122929134","Kodak Ghost Poems (Noren, 1970)"
"Q122811227","Orange (Johnson, 1969)"
"Q122661847","Psychomontage (Kronhausen/Kronhausen, 1960?)"
"Q7432260","Schoolgirl (Reberg, 1971)"
"Q122830603","Secrets Of Life (Faccinto, 1971)"
"Q122661807","Sex (Avidan, 1971)"
"Q122830610","Shadow Of An Apple (Lapoujade, 1965)"
"Q122811232","Tales (Gerstein, 1970)"
"Q12310044","A Stranger Knocks (Jacobsen, 1963)"
"Q122661773","Take Me (Dwoskin, 1969)"
"Q122929135","What Goes On At Sex Therapy Clinics (Cablecasting, 1972)"
"Q2294282","L'Orribile Segreto Del Dottor Hitchcock (Hampton, 1962)"
"Q470375","Belle De Jour (Bunuel, 1966)"
"Q61978411","La Fee Sanguinaire (Lethum, 1968)"
"Q885485","Blow Job (Warhol, 1964)"
"Q1304788","Un Chant D'Amour (Genet, 1950)"
"Q3278514","Mais Ne Nous Deliverez Pas Du Mal (Seria, 1971)"
"Q122661828","Cybele (Ritchie, 1968)"
"Q181086","A Clockwork Orange (Kubrick, 1971)"
"Q1197125","Le Depart (Skolimowski, 1967)"
"Q1137042","Shinjuku Dorobo Nikki (Oshima, 1969)"
"Q670589","Fireworks (Anger, 1947)"
"Q947538","Flaming Creatures (Smith, 1962)"
"Q122661816","Flesh Of Morning (Brakhage, 1956)"
"Q742308","Morte A Venezia (Visconti, 1971)"
"Q122661814","Fragment Of Seeking (Harrington, 1946)"
"Q221587","Frenzy (Hitchcock, 1971)"
"Q1149669","Heat (Morrisey, 1972)"
"Q457675","Nicht Der Homosexuelle Ist Pervers, Sodern Die Situation, In Der Er Lebt (Praunheim, 1971)"
"Q122661778","Lovemaking (Brakhage, 1969)"
"Q6897745","Mona (Osco, 1970)"
"Q122811213","The Man From Onan (Ruskin, 1971)"
"Q686059","Souffle Au Coeur (Malle, 1971)"
"Q830018","Besonders Wertvoll (Costard, 1968)"
"Q15052466","Portrait Of Jason (Clarke, 1967)"
"Q122661782","Sodoma (Muehl, 1970)"
"Q15805836","Die Unterdruck Der Frauen Ist Vor Allenam Verhalten Der Frauen Selber Zu Erkennen! (Costard, 1969)"
"Q3230564","Okasareta Byakui (Wakamatsu, 1967)"
"Q963014","Trash (Morrisey, 1970)"
"Q20728906","Hvorfor Goer De Det? (Kronhausen/Kronhausen, 1971)"
"Q2326990","All My Babies (Stoney, 1953)"
"Q122811212","Sa Borgar Livet (Wallen, 1968)"
"Q122661798","Kirsa Nicholina (Nelson, 1970)"
"Q25999725","The Private Life Of A Cat (Hammid, 1946)"
"Q8024356","Window Water Baby Moving (Brakhage, 1959)"
"Q7712293","The Act Of Seeing With One's Own Eyes (Brakhage, 1972)"
"Q7714831","The Atom Strikes (Army Pictorial Service, USA)"
"Q122661849","Birth And Death (Barron/Barron, 1968)"
"Q3226906","Le Sang Des Betes (Franju, 1949)"
"Q739046","Les Diaboliques (Clouziot, 1955)"
"Q122811215","The End Of One (Kocela, 1971)"
"Q122830613","Corrida Interdite (Daunant)"
"Q976558","Jeux Inderdits (Clement, 1952)"
"Q122929137","Germ And Chemical Warfare (CBS News, 1968)"
"Q1671458","Interviews With My Lai Veterans (Strick, 1971)"
"Q122929138","It Is Good To Live (Kamei, 1958)"
"Q122929139","Posledni Veci Cloveka (Kubicek, 1967)"
"Q2650998","A Movie (Conner, 1958)"
"Q122661790","Necrology (Lawder, 1969)"
"Q8026319","Wintersoldier (Winterfilm Collective, 1972)"
"Q122929140","The Race (Copland, 1970)"
"Q122929141","Zrcadleni (Schorm, 1965)"
"Q8874808","Rite Of Love And Death (Mishima, 1965)"
"Q122661785","Sirius Remembered (Brakhage, 1959)"
"Q122661834","Vivre (Vilardebo, 1960)"
"Q122830605","L'Aube Des Damnes (Rachedi, 1970)"
"Q122929142","Vietnam, Land Of Fire (1966)"
"Q18401","When Love Falls Episode In Love And The City (Antonioni, 1953)"
"Q1248388","The War Game (Watkins, 1965)"
"Q9158966","Archaeologia (Brzozowski, 1967)"
"Q11775225","Mesto Darovane (Kressl, 1968)"
"Q122929143","Camps Of The Dead (1947)"
"Q44916819","Motyli Tady Neziji (Bernat, 1958)"
"Q122830606","Chotyn - 5 Km (Kolovsky, 1968)"
"Q3830878","Les Jeux Des Anges (Borowczyk, 1964)"
"Q5282888","Ghetto Terezin (Radok, 1948)"
"Q122830609","Bylem Kapo (Jaworski, 1964)"
"Q6815312","Memorandum (Brittain/Spotten, 1966)"
"Q706373","Nuit Et Brouillard (Resnais, 1955)"
"Q122661804","Sighet, Sighet (Becker, 1967)"
"Q122929144","Warsaw Ghetto (1944)"
"Q946849","L'Age D'Or (Bunuel, 1930)"
"Q3202256","Archandel Gabriel A Pani Husa (Trnka, 1965)"
"Q122811236","Constitution And Censorship (Sharff, 1953)"
"Q122661805","Every Seventh Child (Willis, 1967)"
"Q14942129","L'Imitation Du Cinema (Marien, 1959)"
"Q1763495","Marjoe (Smith/Kernochan, 1972)"
"Q2250653","Le Miracolo (Rossellini, 1948)"
"Q2339978","Matka Joanna Od Aniolow (Kawalerowicz, 1961)"
"Q122811219","A Note From Above (Phillips, 1969)"
"Q122661848","Maria-Empfangnis-Aktion-Hermann Nitsch (/Sommer, 1969)"
"Q965569","La Religieuse (Rivette, 1965)"
"Q122811220","Rape (Linden, 1966)"
"Q61977538","The Sin Of Jesus (Frank, 1961)"
"Q18423","Roma (Fellini, 1972)"
"Q2357585","Simon Of The Desert (Bunuel, 1966)"
"Q852841","Viridiana (Bunuel, 1961)"
"Q499036","The Andromeda Strain (Wise, 1971)"
"Q1754532","Vredens Dag (Dreyer, 1943)"
"Q2005061","The Big Shave (Scorsese, 1967)"
"Q122661811","Bitter Grapes (Bartlett, 1968)"
"Q122830614","Anastenaria (Condouros, 1961)"
"Q618118","Ohayo (Oza, 1960)"
"Q122811221","Here Comes Every Body (Whitmore, 1972)"
"Q1168890","The House Is Black (Farrokhzad, 1963)"
"Q122811228","Look At Life (Gosling, 1969)"
"Q85853792","Blood (Pollet, 1971)"
"Q122661775","Saturday Morning (Mackenzie, 1970)"
"Q3981080","La Taranta (Mengozzi, 1961)"
"Q122811222","Selective Service System (Haack, 1970)"
"Q2109452","Allures (Belson, 1961)"
"Q58814795","Apotheosis (Lennon, 1970)"
"Q1977969","Tretya Meshchanskaya (Room, 1927)"
