wikidata,label
Q2339978,"Mother Joan of the Angels (Jerzy Kawalerowicz, 1961)"
Q122811219,"A Note from Above (Derek Phillips, 1969)"
Q122661848,"Maria-Conception-Action-Hermann Nitsch (Ed Sommer, 1969)"
Q965569,"The Nun (Jacques Rivette, 1966)"
Q122811220,"Rape (Wim van der Linden, 1966)"
Q61977538,"The Sin of Jesus (Robert Frank, 1961)"
Q18423,"Roma (Federico Fellini, 1972)"
Q2357585,"Simon of the Desert (Luis Buñuel, 1965)"
Q852841,"Viridiana (Luis Buñuel, 1961)"
Q499036,"The Andromeda Strain (Robert Wise, 1971)"
Q1754532,"Day of Wrath (Carl Theodor Dreyer, 1943)"
Q2005061,"The Big Shave (Martin Scorsese, 1967)"
Q122661811,"Bitter Grapes (Richard Bartlett, 1968)"
Q122830614,"Firewalkers of Greece (Roussos Koundouros, 1961)"
Q618118,"Good Morning (Yasujirō Ozu, 1959)"
Q122811221,"Here Comes Every Body (John Whitmore, 1972)"
Q1168890,"The House Is Black (Forugh Farrokhzad, 1962)"
Q122811228,"Look at Life (Nicholas Gosling, 1969)"
Q85853792,"Le sang (Jean-Daniel Pollet, 1972)"
Q122661775,"Saturday Morning (Kent Mackenzie, 1970)"
Q3981080,"Tarantula (Gianfranco Mingozzi, 1962)"
Q122811222,"Selective Service System (Warren Haack, 1970)"
Q2109452,"Allures (Jordan Belson, 1961)"
Q58814795,"Apotheosis (John Lennon, 1970)"
Q1977969,"Bed and Sofa (Abram Room, 1927)"
Q109974393,Breathing Together: Revolution of the Electric Family (Morley Markson)
Q122661809,"Co-Co Puffs (Ira Wohl, 1972)"
Q122811225,"Family (Hubert Smith, 1971)"
Q2266061,"Fata Morgana (Werner Herzog, 1970)"
Q116144,"Free Radicals (Len Lye, 1979)"
Q4139699,"Glen and Randa (Jim McBride, 1971)"
Q913311,"A Hard Day's Night (Richard Lester, 1964)"
Q64995744,"Lapis (James Whitney, 1966)"
Q122811224,"Lightning, Waterfall, Fern, Soup (Shelby Kennedy, 1971)"
Q25409880,Paradise Now (1970)
Q122811208,"Nebula 2 (Robert Frerck, 1971)"
Q122661771,"Samadhi (Jordan Belson, 1968)"
Q122661776,"This Is It (James Broughton, 1971)"
Q122830602,"Kusama's Self-Obliteration (Jud Yalkut, 1967)"
