,section,title,director,country,year,wikidata
241,Subversion In Eastern Europe: Aesopian Metaphors - Part One,Identification Marks: None,Jerzy Skolimowski, Poland, 1964,Q3483691
242,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Dom),Walerian Borowczyk and Jan Lenica, Poland, 1958,
243,Subversion In Eastern Europe: Aesopian Metaphors - Part One,The Innocent Sorcerers,Andrzej Wajda, Poland, 1960,Q502655
244,Subversion In Eastern Europe: Aesopian Metaphors - Part One,Jan Palach,Anonymous, Czechoslavakia, 1969,
245,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Zert),Jaromil Jires, Czechoslavakia, 1968,Q774805
246,Subversion In Eastern Europe: Aesopian Metaphors - Part One,(Labirynth),Jan Lenica, Poland, 1962,
247,Subversion In Eastern Europe: Aesopian Metaphors - Part One,Joseph Kilian,Pavel Juracek and Jan Schmidt, Czechoslavakia, 1963,Q48671824
248,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,Ordinary Courage,Evald Schorm, Czechoslavakia, 1964,
249,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,Warsaw 1956,Jerzy Bossak and Waclaw Kazimierczak, Poland, 1956,
250,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Maszyna),Daniel Szchechura, Poland, 1963,
251,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Vesela Klasa),Bojana Marija, Yugoslavia, 196?,
252,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,My Dearest Wish,Jan Spata, Czechoslavakia, 1965,
253,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Nije Ptica Sve Sto Leti),Borislav Sajtinac, Yugoslavia, 1970,
254,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,Passing Days,Nedeljko Dragic, Yugoslavia, 1969,
255,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,Per Aspera Ad Astra,Nedeljko Dragic, Yugoslavia, 1969,
256,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(O Slavnosti A Hostech),Jan Nemec, Czechoslavakia, 1966,Q4659196
257,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,The Role Of My Family In The World Revolution,Bata Cengic, Yugoslavia, 1971,
258,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Szegenylegenyek),Miklos Jancso, Hungary, 1965,Q531109
259,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Lipanjska Gibanja),Zelimir Zilnik, Yugoslavia, 1968,Q12754580
260,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(La Tecnica E Il Rito),Miklos Jancso, Italy, 1971,Q15824929
261,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Dwaj Ludzie Z Stafa),Roman Polanski, Poland, 1957,
262,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Bez Naslova),Borivoj Dovnikovic, Yugoslavia, 1965,
